"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Discontinued indicators","kidanxiety","2015/16","2017/18","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.022","0.016","0.030","  7,000","  5,000","  9,000",NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2015/16","2017/18","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.035","0.026","0.046","  6,000","  4,000","  8,000",NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2015/16","2017/18","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.032","0.023","0.043","  5,000","  3,000","  7,000",NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2015/16","2017/18","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.047","0.032","0.065","  8,000","  5,000"," 12,000",NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2016/17","2018/19","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.025","0.020","0.031","  8,000","  6,000","  9,000",NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2016/17","2018/19","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.035","0.025","0.046","  6,000","  4,000","  8,000",NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2016/17","2018/19","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.034","0.026","0.043","  5,000","  4,000","  7,000",NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2016/17","2018/19","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.057","0.043","0.074"," 10,000","  7,000"," 13,000",NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2017/18","2019/20","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.026","0.020","0.034","  8,000","  6,000"," 10,000",NA,NA,NA,"None"
"Discontinued indicators","kidanxiety","2017/18","2019/20","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",FALSE,"0.033","0.023","0.046","  6,000","  4,000","  8,000",NA,NA,NA,"None"
