"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","disability","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","55-64","All","All","All","All","All","All",TRUE,"0.804","0.786"," 0.821",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","65-74","All","All","All","All","All","All",TRUE,"0.834","0.814"," 0.853",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","75+","All","All","All","All","All","All",TRUE,"0.876","0.858"," 0.892",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","Māori","All","All","All","All","All",TRUE,"0.774","0.756"," 0.792",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","Pacific","All","All","All","All",TRUE,"0.815","0.782"," 0.845",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","All","Asian","All","All","All",TRUE,"0.879","0.860"," 0.896",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","European/Other","All","All",TRUE,"0.818","0.808"," 0.828",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 1","All",TRUE,"0.842","0.818"," 0.864",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 2","All",TRUE,"0.846","0.827"," 0.864",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 3","All",TRUE,"0.832","0.813"," 0.850",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 4","All",TRUE,"0.804","0.786"," 0.821",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 5","All",TRUE,"0.798","0.780"," 0.816",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All","Non-disabled",TRUE,"0.839","0.830"," 0.847",NA,NA,NA,NA,NA,NA,"None"
"Family wellbeing","fam_wellbeing_7up_exclu_no_fam","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All","Disabled",TRUE,"0.677","0.640"," 0.712",NA,NA,NA,NA,NA,NA,"None"
