"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","disability","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","65-74","All","All","All","All","All","All",TRUE,"0.872","0.856"," 0.887",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","75+","All","All","All","All","All","All",TRUE,"0.860","0.839"," 0.878",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","All","Māori","All","All","All","All","All",TRUE,"0.781","0.762"," 0.800",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","All","All","Pacific","All","All","All","All",TRUE,"0.803","0.768"," 0.835",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","All","All","All","Asian","All","All","All",TRUE,"0.860","0.842"," 0.876",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","European/Other","All","All",TRUE,"0.833","0.823"," 0.843",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 1","All",TRUE,"0.882","0.861"," 0.900",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 2","All",TRUE,"0.844","0.822"," 0.865",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 3","All",TRUE,"0.841","0.825"," 0.857",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 4","All",TRUE,"0.808","0.789"," 0.826",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 5","All",TRUE,"0.782","0.761"," 0.801",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All","Non-disabled",TRUE,"0.852","0.844"," 0.860",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All","Disabled",TRUE,"0.579","0.533"," 0.624",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","Male","All","All","All","All","All","All","All",TRUE,"0.856","0.835"," 0.874",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","Female","All","All","All","All","All","All","All",TRUE,"0.826","0.805"," 0.846",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","Male","All","All","All","All","All","All","All",TRUE,"0.824","0.800"," 0.847",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","Female","All","All","All","All","All","All","All",TRUE,"0.828","0.806"," 0.848",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","Male","All","All","All","All","All","All","All",TRUE,"0.838","0.812"," 0.861",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","Female","All","All","All","All","All","All","All",TRUE,"0.808","0.784"," 0.830",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","Male","All","All","All","All","All","All","All",TRUE,"0.833","0.802"," 0.860",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","Female","All","All","All","All","All","All","All",TRUE,"0.843","0.820"," 0.865",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Auckland Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.859","0.838"," 0.878",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Auckland Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.829","0.806"," 0.850",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Bay of Plenty Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.809","0.762"," 0.850",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Bay of Plenty Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.832","0.791"," 0.868",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Canterbury Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.856","0.820"," 0.888",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Canterbury Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.830","0.790"," 0.864",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Gisborne Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.785","0.688"," 0.863",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Gisborne Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.844","0.739"," 0.919",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Hawke's Bay Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.768","0.702"," 0.825",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Hawke's Bay Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.856","0.812"," 0.893",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Manawatū-Wanganui Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.873","0.838"," 0.904",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Manawatū-Wanganui Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.808","0.760"," 0.850",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Marlborough Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.767","0.547"," 0.916",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Marlborough Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.836","0.640"," 0.951",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Nelson Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.850","0.746"," 0.924",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Nelson Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.852","0.740"," 0.928",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Northland Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.809","0.677"," 0.905",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Northland Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.824","0.770"," 0.870",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Otago Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.810","0.710"," 0.887",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Otago Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.871","0.829"," 0.905",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Southland Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.773","0.529"," 0.930",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Southland Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.883","0.828"," 0.925",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Taranaki Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.831","0.748"," 0.895",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Taranaki Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.836","0.752"," 0.901",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Tasman Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.765","0.600"," 0.886",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Tasman Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.790","0.581"," 0.926",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Waikato Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.827","0.790"," 0.861",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Waikato Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.818","0.786"," 0.848",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Wellington Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.833","0.796"," 0.866",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","Wellington Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.797","0.765"," 0.827",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","West Coast Region","All","Male","All","All","All","All","All","All","All",TRUE,"0.719","0.369"," 0.941",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","All","All","All","West Coast Region","All","Female","All","All","All","All","All","All","All",TRUE,"0.761","0.465"," 0.942",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","15-24","All","All","All","All","All","All",TRUE,"0.847","0.805"," 0.883",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","25-34","All","All","All","All","All","All",TRUE,"0.835","0.807"," 0.860",NA,NA,NA,NA,NA,NA,"None"
"Life satisfaction","life_as_whole_hi_vhi","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","35-44","All","All","All","All","All","All",TRUE,"0.851","0.823"," 0.877",NA,NA,NA,NA,NA,NA,"None"
