"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","disability","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","All","All","All","25-34","All","All","All","All","All","All",FALSE,"0.416","0.395"," 0.438","  315,000","  299,000","  331,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","All","All","All","35-44","All","All","All","All","All","All",FALSE,"0.441","0.419"," 0.462","  303,000","  289,000","  318,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","All","All","All","45-54","All","All","All","All","All","All",FALSE,"0.454","0.429"," 0.480","  295,000","  279,000","  312,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","All","All","All","55-64","All","All","All","All","All","All",FALSE,"0.460","0.438"," 0.481","  288,000","  275,000","  301,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","All","All","All","65-74","All","All","All","All","All","All",FALSE,"0.565","0.543"," 0.587","  273,000","  263,000","  284,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","All","All","All","75+","All","All","All","All","All","All",FALSE,"0.595","0.572"," 0.618","  222,000","  213,000","  230,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","All","All","All","All","Māori","All","All","All","All","All",FALSE,"0.447","0.425"," 0.469","  281,000","  267,000","  294,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","All","All","All","All","All","Pacific","All","All","All","All",FALSE,"0.456","0.417"," 0.496","  128,000","  117,000","  138,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","All","All","All","All","All","All","Asian","All","All","All",FALSE,"0.393","0.365"," 0.420","  257,000","  240,000","  275,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","European/Other","All","All",FALSE,"0.491","0.479"," 0.503","1,537,000","1,499,000","1,575,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 1","All",FALSE,"0.522","0.497"," 0.548","  442,000","  419,000","  466,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 2","All",FALSE,"0.498","0.473"," 0.522","  428,000","  405,000","  451,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 3","All",FALSE,"0.474","0.455"," 0.492","  406,000","  389,000","  422,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 4","All",FALSE,"0.438","0.414"," 0.462","  375,000","  354,000","  397,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","NZDep 5","All",FALSE,"0.415","0.395"," 0.435","  335,000","  319,000","  352,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All","Non-disabled",FALSE,"0.473","0.462"," 0.484","1,816,000","1,773,000","1,859,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","All","All","All","All","All","All","All","All","All","Disabled",FALSE,"0.436","0.408"," 0.464","  165,000","  151,000","  179,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","Male","All","All","All","All","All","All","All",FALSE,"0.413","0.389"," 0.438","  292,000","  261,000","  323,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","Female","All","All","All","All","All","All","All",FALSE,"0.502","0.478"," 0.525","  382,000","  354,000","  409,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","Male","All","All","All","All","All","All","All",FALSE,"0.396","0.371"," 0.421","  163,000","  142,000","  183,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","Female","All","All","All","All","All","All","All",FALSE,"0.501","0.476"," 0.527","  222,000","  198,000","  245,000",NA,NA,NA,"None"
