"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Physical punishment","kid_parent_belief_phy_punish","2019/20","2021/22","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.278","0.247","0.310",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2019/20","2021/22","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.318","0.283","0.355",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2020/21","2022/23","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.236","0.211","0.264",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2020/21","2022/23","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.343","0.307","0.380",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2020/21","2022/23","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.234","0.204","0.265",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2020/21","2022/23","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.289","0.252","0.329",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2021/22","2023/24","Northern | Te Tai Tokerau","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.213","0.187","0.240",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2021/22","2023/24","Midland | Te Manawa Taki","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.316","0.277","0.356",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.236","0.204","0.270",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","All","All","All","All","All","All","All",TRUE,"0.282","0.245","0.321",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2015/16","2017/18","All","Area with IMPB yet to be established","All","All","All","All","All","All","All","All","All","All",TRUE,"0.601","0.115","0.963",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Physical punishment","kid_parent_belief_phy_punish","2015/16","2017/18","All","Ngaa Pou Hauora oo Taamaki Makaurau","All","All","All","All","All","All","All","All","All","All",TRUE,"0.454","0.416","0.493",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2015/16","2017/18","All","Tairāwhiti Toitū Te Ora","All","All","All","All","All","All","All","All","All","All",TRUE,"0.592","0.518","0.663",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2015/16","2017/18","All","Te Kāhui Hauora o Te Tau Ihu","All","All","All","All","All","All","All","All","All","All",TRUE,"0.380","0.320","0.443",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2015/16","2017/18","All","Te Karu o te Ika Poari Hauora","All","All","All","All","All","All","All","All","All","All",TRUE,"0.524","0.458","0.589",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2015/16","2017/18","All","Te Moana a Toi","All","All","All","All","All","All","All","All","All","All",TRUE,"0.553","0.504","0.602",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2015/16","2017/18","All","Te Mātuku","All","All","All","All","All","All","All","All","All","All",TRUE,"0.583","0.498","0.664",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2015/16","2017/18","All","Te Pae Oranga o Ruahine o Tararua","All","All","All","All","All","All","All","All","All","All",TRUE,"0.534","0.478","0.590",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2015/16","2017/18","All","Te Punanga Ora","All","All","All","All","All","All","All","All","All","All",TRUE,"0.553","0.490","0.614",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2015/16","2017/18","All","Te Taumata Hauora o Te Kahu o Taonui","All","All","All","All","All","All","All","All","All","All",TRUE,"0.347","0.319","0.376",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2015/16","2017/18","All","Te Taura Ora o Waiariki","All","All","All","All","All","All","All","All","All","All",TRUE,"0.495","0.437","0.554",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2015/16","2017/18","All","Te Tauraki","All","All","All","All","All","All","All","All","All","All",TRUE,"0.399","0.362","0.437",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2015/16","2017/18","All","Te Tiratū","All","All","All","All","All","All","All","All","All","All",TRUE,"0.510","0.473","0.547",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2015/16","2017/18","All","Tihei Tākitimu","All","All","All","All","All","All","All","All","All","All",TRUE,"0.567","0.524","0.609",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2015/16","2017/18","All","Tūwharetoa","All","All","All","All","All","All","All","All","All","All",TRUE,"0.432","0.324","0.545",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2015/16","2017/18","All","Ātiawa Toa","All","All","All","All","All","All","All","All","All","All",TRUE,"0.282","0.250","0.316",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2016/17","2018/19","All","Area with IMPB yet to be established","All","All","All","All","All","All","All","All","All","All",TRUE,"0.502","0.145","0.857",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Physical punishment","kid_parent_belief_phy_punish","2016/17","2018/19","All","Ngaa Pou Hauora oo Taamaki Makaurau","All","All","All","All","All","All","All","All","All","All",TRUE,"0.421","0.386","0.457",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2016/17","2018/19","All","Tairāwhiti Toitū Te Ora","All","All","All","All","All","All","All","All","All","All",TRUE,"0.547","0.481","0.613",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2016/17","2018/19","All","Te Kāhui Hauora o Te Tau Ihu","All","All","All","All","All","All","All","All","All","All",TRUE,"0.373","0.310","0.441",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2016/17","2018/19","All","Te Karu o te Ika Poari Hauora","All","All","All","All","All","All","All","All","All","All",TRUE,"0.426","0.335","0.521",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2016/17","2018/19","All","Te Moana a Toi","All","All","All","All","All","All","All","All","All","All",TRUE,"0.559","0.513","0.604",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2016/17","2018/19","All","Te Mātuku","All","All","All","All","All","All","All","All","All","All",TRUE,"0.594","0.517","0.668",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2016/17","2018/19","All","Te Pae Oranga o Ruahine o Tararua","All","All","All","All","All","All","All","All","All","All",TRUE,"0.540","0.484","0.595",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2016/17","2018/19","All","Te Punanga Ora","All","All","All","All","All","All","All","All","All","All",TRUE,"0.530","0.471","0.588",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2016/17","2018/19","All","Te Taumata Hauora o Te Kahu o Taonui","All","All","All","All","All","All","All","All","All","All",TRUE,"0.340","0.313","0.368",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2016/17","2018/19","All","Te Taura Ora o Waiariki","All","All","All","All","All","All","All","All","All","All",TRUE,"0.478","0.404","0.553",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2016/17","2018/19","All","Te Tauraki","All","All","All","All","All","All","All","All","All","All",TRUE,"0.382","0.347","0.418",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2016/17","2018/19","All","Te Tiratū","All","All","All","All","All","All","All","All","All","All",TRUE,"0.524","0.490","0.559",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2016/17","2018/19","All","Tihei Tākitimu","All","All","All","All","All","All","All","All","All","All",TRUE,"0.501","0.455","0.547",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2016/17","2018/19","All","Tūwharetoa","All","All","All","All","All","All","All","All","All","All",TRUE,"0.458","0.284","0.640",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2016/17","2018/19","All","Ātiawa Toa","All","All","All","All","All","All","All","All","All","All",TRUE,"0.277","0.242","0.315",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2017/18","2019/20","All","Area with IMPB yet to be established","All","All","All","All","All","All","All","All","All","All",TRUE,"0.638","0.307","0.892",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2017/18","2019/20","All","Ngaa Pou Hauora oo Taamaki Makaurau","All","All","All","All","All","All","All","All","All","All",TRUE,"0.349","0.311","0.389",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2017/18","2019/20","All","Tairāwhiti Toitū Te Ora","All","All","All","All","All","All","All","All","All","All",TRUE,"0.483","0.412","0.555",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2017/18","2019/20","All","Te Kāhui Hauora o Te Tau Ihu","All","All","All","All","All","All","All","All","All","All",TRUE,"0.416","0.360","0.474",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2017/18","2019/20","All","Te Karu o te Ika Poari Hauora","All","All","All","All","All","All","All","All","All","All",TRUE,"0.410","0.322","0.503",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2017/18","2019/20","All","Te Moana a Toi","All","All","All","All","All","All","All","All","All","All",TRUE,"0.525","0.477","0.572",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2017/18","2019/20","All","Te Mātuku","All","All","All","All","All","All","All","All","All","All",TRUE,"0.549","0.480","0.617",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2017/18","2019/20","All","Te Pae Oranga o Ruahine o Tararua","All","All","All","All","All","All","All","All","All","All",TRUE,"0.505","0.450","0.560",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2017/18","2019/20","All","Te Punanga Ora","All","All","All","All","All","All","All","All","All","All",TRUE,"0.426","0.368","0.485",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2017/18","2019/20","All","Te Taumata Hauora o Te Kahu o Taonui","All","All","All","All","All","All","All","All","All","All",TRUE,"0.330","0.298","0.363",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2017/18","2019/20","All","Te Taura Ora o Waiariki","All","All","All","All","All","All","All","All","All","All",TRUE,"0.457","0.383","0.533",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2017/18","2019/20","All","Te Tauraki","All","All","All","All","All","All","All","All","All","All",TRUE,"0.350","0.312","0.389",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2017/18","2019/20","All","Te Tiratū","All","All","All","All","All","All","All","All","All","All",TRUE,"0.544","0.498","0.588",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2017/18","2019/20","All","Tihei Tākitimu","All","All","All","All","All","All","All","All","All","All",TRUE,"0.402","0.341","0.465",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2017/18","2019/20","All","Tūwharetoa","All","All","All","All","All","All","All","All","All","All",TRUE,"0.468","0.321","0.619",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2017/18","2019/20","All","Ātiawa Toa","All","All","All","All","All","All","All","All","All","All",TRUE,"0.270","0.232","0.310",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2018/19","2020/21","All","Area with IMPB yet to be established","All","All","All","All","All","All","All","All","All","All",TRUE,".S",".S",".S",NA,NA,NA,NA,NA,NA,"Suppress"
"Physical punishment","kid_parent_belief_phy_punish","2018/19","2020/21","All","Ngaa Pou Hauora oo Taamaki Makaurau","All","All","All","All","All","All","All","All","All","All",TRUE,"0.300","0.265","0.337",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2018/19","2020/21","All","Tairāwhiti Toitū Te Ora","All","All","All","All","All","All","All","All","All","All",TRUE,"0.499","0.445","0.552",NA,NA,NA,NA,NA,NA,"None"
"Physical punishment","kid_parent_belief_phy_punish","2018/19","2020/21","All","Te Kāhui Hauora o Te Tau Ihu","All","All","All","All","All","All","All","All","All","All",TRUE,"0.364","0.298","0.435",NA,NA,NA,NA,NA,NA,"None"
